etat,code,libelle,note
BILAN_ACTIF,Réf.,ACTIF,NOTE
BILAN_ACTIF,AD,IMMOBILISATIONS INCORPORELLES,3
BILAN_ACTIF,AE,Frais de développement et de prospection,
BILAN_ACTIF,AF,"Brevets, licences,logiciels et droits similaires",
BILAN_ACTIF,AG,Fonds commercial et droit au bail,
BILAN_ACTIF,AH,Autres immobilisations incorporelles,
BILAN_ACTIF,AI,IMMOBILISATIONS CORPORELLES,3
BILAN_ACTIF,AJ,Terrains (1) dont placement en Net,
BILAN_ACTIF,AK,Bâtiments (1)  dont placement en Net,
BILAN_ACTIF,AL,"Aménagements, agencements et installations",
BILAN_ACTIF,AM,"Matériel, mobiliers et actifs biologiques",
BILAN_ACTIF,AN,Matériel de transport,
BILAN_ACTIF,AP,AVANCES ET ACOMPTES VERSES SUR IMMOBILISATIONS,3
BILAN_ACTIF,AQ,IMMOBILISATIONS FINANCIERES,4
BILAN_ACTIF,AR,Titres de participation,
BILAN_ACTIF,AS,Autres immobilisations financières,
BILAN_ACTIF,AZ,TOTAL ACTIF IMMOBILISE,
BILAN_ACTIF,BA,ACTIF CIRCULANT HAO,5
BILAN_ACTIF,BB,STOCKS ET EN-COURS,6
BILAN_ACTIF,BG,CREANCES ET EMPLOIS ASSIMILES,
BILAN_ACTIF,BH,Fournisseurs avances versées,17
BILAN_ACTIF,BI,Clients,7
BILAN_ACTIF,BJ,Autres créances,8
BILAN_ACTIF,BK,TOTAL ACTIF CIRCULANT,
BILAN_ACTIF,BQ,Titres de placement,9
BILAN_ACTIF,BR,Valeurs à encaisser,10
BILAN_ACTIF,BS,"Banques, chèques postaux, caisse et assimilés",11
BILAN_ACTIF,BT,TOTAL TRESORERIE ACTIF,
BILAN_ACTIF,BU,Ecart de conversion-Actif,12
BILAN_ACTIF,BZ,TOTAL GENERAL,
BILAN_PASSIF,Réf.,PASSIF,
BILAN_PASSIF,CA,Capital,
BILAN_PASSIF,CB,Apporteurs capital non appelé (-),
BILAN_PASSIF,CD,Primes liées au capital social,
BILAN_PASSIF,CE,Ecarts de réévaluation,
BILAN_PASSIF,CF,Réserves indisponibles,
BILAN_PASSIF,CG,Réserves libres,
BILAN_PASSIF,CH,Report à nouveau (+ ou -),
BILAN_PASSIF,CJ,Résultat net de l'exercice (bénéfice + ou perte -),
BILAN_PASSIF,CL,Subventions d'investissement,
BILAN_PASSIF,CM,Provisions réglémentées,
BILAN_PASSIF,CP,TOTAL CAPITAUX PROPRES ET RESSOURCES ASSIMILEES,
BILAN_PASSIF,DA,Emprunts et dettes financières diverses,
BILAN_PASSIF,DB,Dettes de location acquisition,
BILAN_PASSIF,DC,Provisions pour risques et charges,
BILAN_PASSIF,DD,TOTAL DETTES FINANCIERES ET RESSOURCES ASSIMILEES,
BILAN_PASSIF,DF,TOTAL RESSOURCES STABLES,
BILAN_PASSIF,DH,Dettes circulantes HAO,
BILAN_PASSIF,DI,"Clients, avances reçues",
BILAN_PASSIF,DJ,Fournisseurs d'exploitation,
BILAN_PASSIF,DK,Dettes fiscales et sociales,
BILAN_PASSIF,DM,Autres dettes,
BILAN_PASSIF,DN,Provisions pour risques à court terme,
BILAN_PASSIF,DP,TOTAL PASSIF CIRCULANT,
BILAN_PASSIF,DQ,"Banques, crédits d'escompte",
BILAN_PASSIF,DR,"Banques, établissements financiers et crédits de trésorerie",
BILAN_PASSIF,DT,TOTAL TRESORERIE PASSIF,
BILAN_PASSIF,DV,Ecart de conversion-Passif,
BILAN_PASSIF,DZ,TOTAL GENERAL,
COMPTE_RESULTAT,Réf,LIBELLES,
COMPTE_RESULTAT,TA,Ventes de marchandises                                                                                                      A,
COMPTE_RESULTAT,RA,Achats de marchandises,
COMPTE_RESULTAT,RB,Variation de stocks de marchandises,
COMPTE_RESULTAT,XA,MARGE COMMERCIALE (Somme TA à RB),
COMPTE_RESULTAT,TB,Ventes de produits fabriqués                                                                                              B,
COMPTE_RESULTAT,TC,"Travaux,services vendus                                                                                                      C",
COMPTE_RESULTAT,TD,Produits accessoires                                                                                                              D,
COMPTE_RESULTAT,XB,CHIFFRE D'AFFAIRES (A+B+C+D),
COMPTE_RESULTAT,TE,Production stockée (ou déstockage),
COMPTE_RESULTAT,TF,Production immobilisée,
COMPTE_RESULTAT,TG,Subvention d'exploitation,
COMPTE_RESULTAT,TH,Autres  produits,
COMPTE_RESULTAT,TI,Transfert de charges d'exploitation,
COMPTE_RESULTAT,RC,Achats de matières et fournitures liées,
COMPTE_RESULTAT,RD,Variation de stocks de matières premières et fouritures liées,
